Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
perk9mmPeterRank2LongDesc,,,,,,"Pistols fire 20% faster with 40% less recoil."
perk9mmPeterRank3Desc,,,,,,"9mm Peter"
perk9mmPeterRank3LongDesc,,,,,,"Pistols fire 30% faster with 60% less recoil."
perkDuelist,,,,,,"Duelist"
perkDuelistName,,,,,,"Duelist"
perkDuelistDesc,,,,,,"Specialise in using .44 handguns with faster firerates,reloads and a chance to knock down enemies."
perkDuelistRank1Desc,,,,,,"Outlaw"
perkDuelistRank1LongDesc,,,,,,".44 handguns fire 15% faster, reload 10% faster and have a 20% chance to knock down enemies."
perkDuelistRank2Desc,,,,,,"Sheriff"
perkDuelistRank2LongDesc,,,,,,".44 handguns fire 30% faster, reload 20% faster and have a 40% chance to knock down enemies."
perkDuelistRank3Desc,,,,,,"Duelist"
perkDuelistRank3LongDesc,,,,,,".44 handguns fire 45% faster, reload 30% faster and have a 60% chance to knock down enemies."
perkDeadShot,,,,,,"Dead Shot"
perkDeadShotName,,,,,,"Dead Shot"
perkDeadShotDesc,,,,,,"Specialise in increased headshot damage and dismemberment with handguns and SMGs."
perkDeadshotRank1Desc,,,,,,"Pistoleer"
perkDeadshotRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with pistols."
perkDeadshotRank2Desc,,,,,,"Enforcer"
perkDeadshotRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with pistols."
perkDeadshotRank3Desc,,,,,,"Gunfighter"
perkDeadshotRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 60% higher chance to dismember with pistols."
perkDeadshotRank4Desc,,,,,,"Crack Shot"
perkDeadshotRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 80% higher chance to dismember with pistols."
perkDeadshotRank5Desc,,,,,,"Dead Shot"
perkDeadshotRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 100% higher chance to dismember with pistols."
perkBoomstick,,,,,,"Boomstick"
perkBoomstickName,,,,,,"Boomstick"
perkBoomstickDesc,,,,,,"Specialise in using shotguns with faster firerates and more devastating stuns."
perkBoomstickRank1Desc,,,,,,"Blunderbuss"
perkBoomstickRank1LongDesc,,,,,,"Shotguns fire 10% faster and stun for 6 seconds."
perkBoomstickRank2Desc,,,,,,"Scattergun"
perkBoomstickRank2LongDesc,,,,,,"Shotguns fire 20% faster and stun for 8 seconds."
perkBoomstickRank3Desc,,,,,,"Boomstick"
perkBoomstickRank3LongDesc,,,,,,"Shotguns fire 30% faster, stun for 8 seconds and leg shots cripple enemies."
perkShotgunSurgeon,,,,,,"Shotgun Surgeon"
perkShotgunSurgeonName,,,,,,"Shotgun Surgeon"
perkShotgunSurgeonDesc,,,,,,"Specialise in using shotguns at longer ranges with more accuracy."
perkShotgunSurgeonRank1Desc,,,,,,"Shotgun Hunter"
perkShotgunSurgeonRank1LongDesc,,,,,,"Shotguns are 10% more accurate and have 100% more effective and maximum range."
perkShotgunSurgeonRank2Desc,,,,,,"Skeet Shooter"
perkShotgunSurgeonRank2LongDesc,,,,,,"Shotguns are 20% more accurate and have 200% more effective and maximum range."
perkShotgunSurgeonRank3Desc,,,,,,"Shotgun Surgeon"
perkShotgunSurgeonRank3LongDesc,,,,,,"Shotguns are 30% more accurate and have 300% more effective and maximum range."
perkSplatterGun,,,,,,"Splatter Gun"
perkSplatterGunName,,,,,,"Splatter Gun"
perkSplatterGunDesc,,,,,,"Specialise in increased headshot damage and dismemberment with shotguns."
perkSplatterGunRank1Desc,,,,,,"Shotgunner"
perkSplatterGunRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with shotguns."
perkSplatterGunRank2Desc,,,,,,"Breacher"
perkSplatterGunRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with shotguns."
perkSplatterGunRank3Desc,,,,,,"Street Sweeper"
perkSplatterGunRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 60% higher chance to dismember with shotguns."
perkSplatterGunRank4Desc,,,,,,"Riot Trooper"
perkSplatterGunRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 80% higher chance to dismember with shotguns."
perkSplatterGunRank5Desc,,,,,,"Splatter Gun"
perkSplatterGunRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 100% higher chance to dismember with shotguns."
perkDeadEye,,,,,,"Dead Eye"
perkDeadEyeName,,,,,,"Dead Eye"
perkDeadEyeDesc,,,,,,"Specialise in using rifles with more aiming speed, reload speed and combo damage."
perkDeadEyeRank1Desc,,,,,,"Barn-Broadside Hunter"
perkDeadEyeRank1LongDesc,,,,,,"You CAN hit the broadside of a barn, good for you. Rifles aim 20% faster and reload 10% faster."
perkDeadEyeRank2Desc,,,,,,"Sure Shot"
perkDeadEyeRank2LongDesc,,,,,,"Rifles aim 40% faster and reload 20% faster."
perkDeadEyeRank3Desc,,,,,,"Dead Eye"
perkDeadEyeRank3LongDesc,,,,,,"Rifles aim 60% faster and reload 30% faster. \nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%."
perkPenetrator,,,,,,"Penetrator"
perkPenetratorName,,,,,,"Penetrator"
perkPenetratorDesc,,,,,,"Specialise in using armor piercing ammo to ignore even more ammo and penetrate targets with AP rifle rounds."
perkPenetratorRank1Desc,,,,,,"Piercing Shot"
perkPenetratorRank1LongDesc,,,,,,"All armor piercing ammo ignores 10% more armor, Armor piercing shots fired from rifles can penetrate one enemy target and hit another. "
perkPenetratorRank2Desc,,,,,,"Perforator"
perkPenetratorRank2LongDesc,,,,,,"All armor piercing ammo ignores 15% more armor, Armor piercing shots fired from rifles can penetrate two enemy targets and hit another."
perkPenetratorRank3Desc,,,,,,"Puncturer"
perkPenetratorRank3LongDesc,,,,,,"All armor piercing ammo ignores 20% more armor, Armor piercing shots fired from rifles can penetrate three enemy targets and hit another."
perkPenetratorRank4Desc,,,,,,"Penetrator"
perkPenetratorRank4LongDesc,,,,,,"All armor piercing ammo ignores 30% more armor, Armor piercing shots fired from rifles can penetrate four enemy targets and hit another."
perkModernHunter,,,,,,"Modern Hunter"
perkModernHunterName,,,,,,"Modern Hunter"
perkModernHunterDesc,,,,,,"Specialise in using rifles to hunt animals with more damage and dismemberment."
perkModernHunterRank1Desc,,,,,,"Varmint Hunter"
perkModernHunterRank1LongDesc,,,,,,"Deal 10% more damage and 20% higher dismemberment chance with rifles when attacking animals."
perkModernHunterRank2Desc,,,,,,"Big Game Hunter"
perkModernHunterRank2LongDesc,,,,,,"Deal 25% more damage and 40% higher dismemberment chance with rifles when attacking animals."
perkModernHunterRank3Desc,,,,,,"Modern Hunter"
perkModernHunterRank3LongDesc,,,,,,"Deal 50% more damage and 60% higher dismemberment chance with rifles when attacking animals."
perkSniper,,,,,,"Sniper"
perkSniperName,,,,,,"Sniper"
perkSniperDesc,,,,,,"Take your rifle skills to the next level and improve your aiming speed and increase your accuracy even further."
perkSniperRank1Desc,,,,,,"Marksman"
perkSniperRank1LongDesc,,,,,,"Rifles aim 10% faster and are 30% more accurate."
perkSniperRank2Desc,,,,,,"Sharpshooter"
perkSniperRank2LongDesc,,,,,,"Rifles aim 20% faster and are 60% more accurate."
perkSniperRank3Desc,,,,,,"Sniper"
perkSniperRank3LongDesc,,,,,,"Rifles aim 30% faster and are 90% more accurate."
perkDesignatedMarksman,,,,,,"Designated Marksman"
perkDesignatedMarksmanName,,,,,,"Designated Marksman"
perkDesignatedMarksmanDesc,,,,,,"Specialise in increased headshot damage and dismemberment with rifles."
perkDesignatedMarksmanRank1Desc,,,,,,"Plinking Rookie"
perkDesignatedMarksmanRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with rifles."
perkDesignatedMarksmanRank2Desc,,,,,,"Trained Rifleman"
perkDesignatedMarksmanRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with rifles."
perkDesignatedMarksmanRank3Desc,,,,,,"Veteran Rifleman"
perkDesignatedMarksmanRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 60% higher chance to dismember with rifles."
perkDesignatedMarksmanRank4Desc,,,,,,"Eagle Eyed"
perkDesignatedMarksmanRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 80% higher chance to dismember with rifles."
perkDesignatedMarksmanRank5Desc,,,,,,"Designated Marksman"
perkDesignatedMarksmanRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 100% higher chance to dismember with rifles."
perkCommando,,,,,,"Commando"
perkCommandoName,,,,,,"Commando"
perkCommandoDesc,,,,,,"Specialise in increased reload speed and reduced recoil with Automatic rifles."
perkCommandoRank1Desc,,,,,,"Grunt"
perkCommandoRank1LongDesc,,,,,,"Automatic rifles reload 10% faster and have 5% less recoil."
perkCommandoRank2Desc,,,,,,"Veteran"
perkCommandoRank2LongDesc,,,,,,"Automatic rifles reload 20% faster and have 10% less recoil."
perkCommandoRank3Desc,,,,,,"Commando"
perkCommandoRank3LongDesc,,,,,,"Automatic rifles reload 30% faster and have 15% less recoil."
perkShortControlledBursts,,,,,,"Short Controlled Bursts"
perkShortControlledBurstsName,,,,,,"Short Controlled Bursts"
perkShortControlledBurstsDesc,,,,,,"Achieve more precision with your scoped automatic rifles by slowing your firerate and spacing your shots. \nScopes Affected: Reflex Sight, 2x Scope and 4x Scope."
perkShortControlledBurstsRank1Desc,,,,,,"Breathe and Squeeze"
perkShortControlledBurstsRank1LongDesc,,,,,,"When aiming down sights with a scope attached to an automatic rifle, suffer a 60% firerate penalty but gain 20% better accuracy."
perkShortControlledBurstsRank2Desc,,,,,,"Tap Firing"
perkShortControlledBurstsRank2LongDesc,,,,,,"When aiming down sights with a scope attached to an automatic rifle, suffer a 40% firerate penalty but gain 40% better accuracy."
perkShortControlledBurstsRank3Desc,,,,,,"Short Controlled Bursts"
perkShortControlledBurstsRank3LongDesc,,,,,,"When aiming down sights with a scope attached to an automatic rifle, suffer a 20% firerate penalty but gain 60% better accuracy."
perkSprayAndPray,,,,,,"Spray and Pray"
perkSprayAndPrayName,,,,,,"Spray and Pray"
perkSprayAndPrayDesc,,,,,,"Increase your firerate with automatic rifles while hip firing through sheer disregard for where the bullets land."
perkSprayAndPrayRank1Desc,,,,,,"Suppressive Fire"
perkSprayAndPrayRank1LongDesc,,,,,,"When hip firing automatic rifles, fire 20% faster."
perkSprayAndPrayRank2Desc,,,,,,"BRRRRRRRRT"
perkSprayAndPrayRank2LongDesc,,,,,,"When hip firing automatic rifles, fire 30% faster."
perkSprayAndPrayRank3Desc,,,,,,"Spray and Pray"
perkSprayAndPrayRank3LongDesc,,,,,,"When hip firing automatic rifles, fire 50% faster."
perkBetterLeadThanDead,,,,,,"Better Lead Than Dead"
perkBetterLeadThanDeadName,,,,,,"Better Lead Than Dead"
perkBetterLeadThanDeadDesc,,,,,,"Specialise in increased headshot damage and dismemberment with Automatic rifles."
perkBetterLeadThanDeadRank1Desc,,,,,,"Automatic Rifleman"
perkBetterLeadThanDeadRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with Automatic rifles."
perkBetterLeadThanDeadRank2Desc,,,,,,"Machine Gunner"
perkBetterLeadThanDeadRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with Automatic rifles."
perkBetterLeadThanDeadRank3Desc,,,,,,"Lead Head"
perkBetterLeadThanDeadRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 60% higher chance to dismember with Automatic rifles."
perkBetterLeadThanDeadRank4Desc,,,,,,"Bullet Hose"
perkBetterLeadThanDeadRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 80% higher chance to dismember with Automatic rifles."
perkBetterLeadThanDeadRank5Desc,,,,,,"Better Lead Than Dead"
perkBetterLeadThanDeadRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 100% higher chance to dismember with Automatic rifles."
perkArchery,,,,,,"Archery"
perkArcheryName,,,,,,"Archery"
perkArcheryDesc,,,,,,"Increase your aiming speed and reload speed with bows and crossbows."
perkArcheryRank1Desc,,,,,,"Bullseye"
perkArcheryRank1LongDesc,,,,,,"Aim bows and crossbows 20% faster and reload them 10% faster."
perkArcheryRank2Desc,,,,,,"Ranger"
perkArcheryRank2LongDesc,,,,,,"Aim bows and crossbows 40% faster and reload them 20% faster."
perkArcheryRank3Desc,,,,,,"Archer"
perkArcheryRank3LongDesc,,,,,,"Aim bows and crossbows 60% faster and reload them 30% faster."
perkArchery,,,,,,"Archery"
perkArcheryName,,,,,,"Archery"
perkArcheryDesc,,,,,,"Increase your aiming speed and reload speed with bows and crossbows."
perkArcheryRank1Desc,,,,,,"Bullseye"
perkArcheryRank1LongDesc,,,,,,"Aim bows and crossbows 20% faster and reload them 10% faster."
perkArcheryRank2Desc,,,,,,"Ranger"
perkArcheryRank2LongDesc,,,,,,"Aim bows and crossbows 40% faster and reload them 20% faster."
perkArcheryRank3Desc,,,,,,"Archer"
perkArcheryRank3LongDesc,,,,,,"Aim bows and crossbows 60% faster and reload them 30% faster."
perkBowMaster,,,,,,"Bow Master"
perkBowMasterName,,,,,,"Bow Master"
perkBowMasterDesc,,,,,,"Specialise in reloading bows faster, doing more sneak damage and crippling enemies with arrows."
perkBowMasterRank1Desc,,,,,,"Shadow Archer"
perkBowMasterRank1LongDesc,,,,,,"Reload bows 20% faster and gain a 20% chance to cripple and 50% more sneak damage with arrows."
perkBowMasterRank2Desc,,,,,,"Arrow Assassin"
perkBowMasterRank2LongDesc,,,,,,"Reload bows 40% faster and gain a 40% chance to cripple and 100% more sneak damage with arrows."
perkBowMasterRank3Desc,,,,,,"Bow Master"
perkBowMasterRank3LongDesc,,,,,,"Reload bows 60% faster and gain a 60% chance to cripple and 150% more sneak damage with arrows."
perkCrossbowMaster,,,,,,"Crossbow Master"
perkCrossbowMasterName,,,,,,"Crossbow Master"
perkCrossbowMasterDesc,,,,,,"Specialise in penetrating armor with crossbows and doing more sneak damage and crippling enemies with bolts."
perkCrossbowMasterRank1Desc,,,,,,"Crossbow Hunter"
perkCrossbowMasterRank1LongDesc,,,,,,"Penetrate 30% of armor, gain a 50% chance to cripple and 50% more sneak damage with bolts."
perkCrossbowMasterRank2Desc,,,,,,"A-List Arbalist"
perkCrossbowMasterRank2LongDesc,,,,,,"Penetrate 40% of armor, gain a 80% chance to cripple and 100% more sneak damage with bolts."
perkCrossbowMasterRank3Desc,,,,,,"Crossbow Master"
perkCrossbowMasterRank3LongDesc,,,,,,"Penetrate 50% of armor, gain a 100% chance to cripple and 150% more sneak damage with bolts."
perkPrimalHunter,,,,,,"Primal Hunter"
perkPrimalHunterName,,,,,,"Primal Hunter"
perkPrimalHunterDesc,,,,,,"Hunt animals the old fashioned way with bows and crossbows, dealing additional damage to animals and inflicting bleed against them."
perkPrimalHunterRank1Desc,,,,,,"Broadhead Arrows"
perkPrimalHunterRank1LongDesc,,,,,,"Deal 10% more damage with bows and crossbows against animals and inflict a bleed stack with each shot."
perkPrimalHunterRank2Desc,,,,,,"Patient Hunter"
perkPrimalHunterRank2LongDesc,,,,,,"Deal 25% more damage with bows and crossbows against animals and inflict two bleed stacks with each shot."
perkPrimalHunterRank3Desc,,,,,,"Primal Hunter"
perkPrimalHunterRank3LongDesc,,,,,,"Deal 50% more damage with bows and crossbows against animals and inflict three bleed stacks with each shot."
perkTheArrowsFate,,,,,,"The Arrows Fate"
perkTheArrowsFateName,,,,,,"The Arrows Fate"
perkTheArrowsFateDesc,,,,,,"Specialise in increased headshot damage and dismemberment with bows and crossbows."
perkTheArrowsFateRank1Desc,,,,,,"Lucky Shot"
perkTheArrowsFateRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with bows and crossbows."
perkTheArrowsFateRank2Desc,,,,,,"Reliable Bullseye"
perkTheArrowsFateRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with bows and crossbows."
perkTheArrowsFateRank3Desc,,,,,,"Bow Sniper"
perkTheArrowsFateRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 60% higher chance to dismember with bows and crossbows."
perkTheArrowsFateRank4Desc,,,,,,"Never Miss"
perkTheArrowsFateRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 80% higher chance to dismember with bows and crossbows."
perkTheArrowsFateRank5Desc,,,,,,"The Arrows Fate"
perkTheArrowsFateRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 100% higher chance to dismember with bows and crossbows."
perkPhysician,,,,,,"Physician"
perkPhysicianName,,,,,,"Physician"
perkPhysicianDesc,,,,,,"Use medicine and drugs more effectively."
perkPhysicianRank1Desc,,,,,,"Intern"
perkPhysicianRank1LongDesc,,,,,,"Treated Critical injuries heal 15% faster.\nMedical healing items heal 25% more health over time.\nGain 100% more XP using bandages, first aid bandages, first aid kits and splints.\nSplints and Casts cure sprains instantly."
perkPhysicianRank2Desc,,,,,,"Doctor"
perkPhysicianRank2LongDesc,,,,,,"Treated Critical injuries heal 25% faster.\nMedical healing items heal 50% more health over time.\nGain 200% more XP medical items."
perkPhysicianRank3Desc,,,,,,"Medical Master"
perkPhysicianRank3LongDesc,,,,,,"Treated Critical injuries heal 50% faster.\nMedical healing items heal 100% more health over time.\nGain 300% more XP using medical items.\nCasts cure broken limbs instantly."
perkDaringAdventurer,,,,,,"Daring Adventurer"
perkDaringAdventurerName,,,,,,"Daring Adventurer"
perkDaringAdventurerDesc,,,,,,"Become a daring adventurer and receive greater rewards for your quests."
perkDaringAdventurerRank1Desc,,,,,,"Rookie"
perkDaringAdventurerRank1LongDesc,,,,,,"Gain +20 to your Trader Stage and 10% more dukes for quests."
perkDaringAdventurerRank2Desc,,,,,,"Hardened Mercenary"
perkDaringAdventurerRank2LongDesc,,,,,,"Gain +40 to your Trader Stage and 20% more dukes for quests."
perkDaringAdventurerRank3Desc,,,,,,"Daring Adventurer"
perkDaringAdventurerRank3LongDesc,,,,,,"Gain +60 to your Trader Stage and 30% more dukes for quests. \nAdditionally, choose an extra reward when finishing quests."
perkCharismaticNatureRank5LongDesc,,,,,,"You're a true hero, Allies and Party members find 20% better loot and gain +25 maximum stamina."
perkDemolitionsExpertDesc,,,,,,"Specialise in using explosives to blow enemies sky high."
perkDemolitionsExpertRank1LongDesc,,,,,,"Explosives deal 20% more damage and Rocket Launchers reload 15% faster and aim 20% faster."
perkDemolitionsExpertRank2LongDesc,,,,,,"Explosives deal 40% more damage and Rocket Launchers reload 30% faster and aim 40% faster."
perkDemolitionsExpertRank3LongDesc,,,,,,"Explosives deal 60% more damage and Rocket Launchers reload 45% faster and aim 60% faster."
perkReducedToAtoms,,,,,,"Reduced To Atoms"
perkReducedToAtomsName,,,,,,"Reduced To Atoms"
perkReducedToAtomsDesc,,,,,,"Specialise in blowing off body parts with your explosives you sick lunatic."
perkReducedToAtomsRank1Desc,,,,,,"Mine Crafter"
perkReducedToAtomsRank1LongDesc,,,,,,"10% higher chance to dismember with explosives."
perkReducedToAtomsRank2Desc,,,,,,"Mortar Master"
perkReducedToAtomsRank2LongDesc,,,,,,"20% higher chance to dismember with explosives."
perkReducedToAtomsRank3Desc,,,,,,"Artillery Artist"
perkReducedToAtomsRank3LongDesc,,,,,,"30% higher chance to dismember with explosives."
perkReducedToAtomsRank4Desc,,,,,,"Superior Firepower"
perkReducedToAtomsRank4LongDesc,,,,,,"40% higher chance to dismember with explosives."
perkReducedToAtomsRank5Desc,,,,,,"Reduced to Atoms"
perkReducedToAtomsRank5LongDesc,,,,,,"50% higher chance to dismember with explosives."
perkRoboticsInventor,,,,,,"Robotics Inventor"
perkRoboticsInventorName,,,,,,"Robotics Inventor"
perkRoboticsInventorDesc,,,,,,"Overclock your robotic weapons to perform better, hold more ammo and reload them faster."
perkRoboticsInventorRank1Desc,,,,,,"Tinkerer"
perkRoboticsInventorRank1LongDesc,,,,,,"Robotic turrets fire 50% faster, deal 30% more damage, reload 10% faster and gain +20 magazine capacity."
perkRoboticsInventorRank2Desc,,,,,,"Mechanical Engineer"
perkRoboticsInventorRank2LongDesc,,,,,,"Robotic turrets fire 100% faster, deal 40% more damage, reload 20% faster and gain +40 magazine capacity."
perkRoboticsInventorRank3Desc,,,,,,"Robotics Specialist"
perkRoboticsInventorRank3LongDesc,,,,,,"Robotic turrets fire 150% faster, deal 50% more damage, reload 30% faster and gain +60 magazine capacity."
perkAimBot,,,,,,"Aimbot"
perkAimBotName,,,,,,"Aimbot"
perkAimBotDesc,,,,,,"Upgrade the aiming software of your turrets to do more headshot damage and target limb weakpoints."
perkAimbotRank1Desc,,,,,,"Console Commander"
perkAimbotRank1LongDesc,,,,,,"Deal 20% more headshot damage and have a 10% higher chance to dismember with robotics weapons."
perkAimbotRank2Desc,,,,,,"Exploiter"
perkAimbotRank2LongDesc,,,,,,"Deal 40% more headshot damage and have a 20% higher chance to dismember with robotics weapons."
perkAimbotRank3Desc,,,,,,"Script Kiddie"
perkAimbotRank3LongDesc,,,,,,"Deal 60% more headshot damage and have a 30% higher chance to dismember with robotics weapons."
perkAimbotRank4Desc,,,,,,"Certified Hacker"
perkAimbotRank4LongDesc,,,,,,"Deal 80% more headshot damage and have a 40% higher chance to dismember with robotics weapons."
perkAimbotRank5Desc,,,,,,"Aimbot"
perkAimbotRank5LongDesc,,,,,,"Deal 100% more headshot damage and have a 50% higher chance to dismember with robotics weapons."
perkMultithreading,,,,,,"Multithreading"
perkMultithreadingName,,,,,,"Multithreading"
perkMultithreadingDesc,,,,,,"Upgrade your processing power to be able to keep more turrets active at longer ranges."
perkMultithreadingRank1Desc,,,,,,"Quad Core"
perkMultithreadingRank1LongDesc,,,,,,"Place an additional robotic turret and keep your turrets active up to 15 metres."
perkMultithreadingRank2Desc,,,,,,"Octo Core"
perkMultithreadingRank2LongDesc,,,,,,"Place two additional robotic turrets and keep your turrets active up to 20 metres."
perkMultithreadingRank3Desc,,,,,,"Multithreading"
perkMultithreadingRank3LongDesc,,,,,,"Place three additional robotic turrets and keep your turrets active up to 25 metres."
perkHealthNut,,,,,,"Health Nut"
perkHealthNutName,,,,,,"Health Nut"
perkHealthNutDesc,,,,,,"Improve your overall fitness to give yourself higher maximum health and stamina."
perkHealthNutRank1Desc,,,,,,"Gym Bro"
perkHealthNutRank2Desc,,,,,,"Yoga Master"
perkHealthNutRank3Desc,,,,,,"Wellness Enthusiast"
perkHealthNutRank4Desc,,,,,,"Fitness Freak"
perkHealthNutRank5Desc,,,,,,"Health Nut"
perkHealthNutRank1LongDesc,,,,,,"Gain +10 max health and stamina."
perkHealthNutRank2LongDesc,,,,,,"Gain +20 max health and stamina."
perkHealthNutRank3LongDesc,,,,,,"Gain +30 max health and stamina."
perkHealthNutRank4LongDesc,,,,,,"Gain +40 max health and stamina."
perkHealthNutRank5LongDesc,,,,,,"Gain +50 max health and stamina."
perkParkour,,,,,,"Parkour"
perkParkourName,,,,,,"Parkour"
perkParkourDesc,,,,,,"Improve your mobility and specialize in jumping higher and landing from dangerous falls safely."
perkParkourRank1LongDesc,,,,,,"Jumping costs 10% less stamina. Increase safe fall distance by 1 metre."
perkParkourRank2LongDesc,,,,,,"Jumping costs 20% less stamina. Increase safe fall distance by 2 metres and jump 1 metre higher."
perkParkourRank3LongDesc,,,,,,"Jumping costs 30% less stamina. Increase safe fall distance by 3 metres and never break a leg when falling."
perkParkourRank4LongDesc,,,,,,"Jumping costs 40% less stamina. Increase safe fall distance by 4 metres and never get a sprained or broken leg when falling."
perkSuitedUp,,,,,,"Suited Up"
perkSuitedUpName,,,,,,"Suited Up"
perkSuitedUpDesc,,,,,,"Improve your abilities with all kinds of armor, increasing your crit resistance and carry capacity with light, medium and heavy armor."
perkSuitedUpRank1Desc,,,,,,"Legally Dressed"
perkSuitedUpRank2Desc,,,,,,"Well Equipped"
perkSuitedUpRank3Desc,,,,,,"Dressed To Impress"
perkSuitedUpRank4Desc,,,,,,"Suited Up"
perkSuitedUpRank1LongDesc,,,,,,"Each piece of equipped armor increases critical resistance by 2.5% and gives 1 carry capacity."
perkSuitedUpRank2LongDesc,,,,,,"Each piece of equipped armor increases critical resistance by 5% and gives 2 carry capacity."
perkSuitedUpRank3LongDesc,,,,,,"Each piece of equipped armor increases critical resistance by 7.5% and gives 3 carry capacity."
perkSuitedUpRank4LongDesc,,,,,,"Each piece of equipped armor increases critical resistance by 10% and gives 4 carry capacity."
perkMediumArmor,,,,,,"Medium Armor"
perkMediumArmorName,,,,,,"Medium Armor"
perkMediumArmorDesc,,,,,,"Specialise in medium armors, improving your mobility, stamina usage and increasing resistance to bleed, abrasions, lacerations and infections."
perkMediumArmorRank1LongDesc,,,,,,"Reduce movement penalty by 15% and stamina penalty by 10% when wearing medium armor, additionally: \nGain 1.25% more resistance to bleed, abrasions, lacerations and infections per piece of equipped medium armor."
perkMediumArmorRank2LongDesc,,,,,,"Reduce movement penalty by 30% and stamina penalty by 20% when wearing medium armor, additionally: \nGain 2.5% more resistance to bleed, abrasions, lacerations and infections per piece of equipped medium armor."
perkMediumArmorRank3LongDesc,,,,,,"Reduce movement penalty by 50% and stamina penalty by 35% when wearing medium armor, additionally: \nGain 3.75% more resistance to bleed, abrasions, lacerations and infections per piece of equipped medium armor."
perkMediumArmorRank4LongDesc,,,,,,"Reduce movement penalty by 75% and stamina penalty by 50% when wearing medium armor, additionally: \nGain 5% more resistance to bleed, abrasions, lacerations and infections per piece of equipped medium armor."
perkHeavyArmor,,,,,,"Heavy Armor"
perkHeavyArmorName,,,,,,"Heavy Armor"
perkHeavyArmorDesc,,,,,,"Specialise in heavy armors, improving your mobility, stamina usage and increasing resistance to stuns, concussions, fatigues, sprains and gain melee damage when in full heavy armor."
perkHeavyArmorRank1LongDesc,,,,,,"Reduce movement and stamina penalty by 5% when wearing heavy armor, additionally: \nGain 1.25% more resistance to stuns, concussions, fatigues and sprains per piece of equipped heavy armor. \nWhen wearing full heavy armor, deal 5% more melee damage."
perkHeavyArmorRank2LongDesc,,,,,,"Reduce movement and stamina penalty by 10% when wearing heavy armor, additionally: \nGain 2.5% more resistance to stuns, concussions, fatigues and sprains per piece of equipped heavy armor. \nWhen wearing full heavy armor, deal 10% more melee damage."
perkHeavyArmorRank3LongDesc,,,,,,"Reduce movement and stamina penalty by 17% when wearing heavy armor, additionally: \nGain 3.75% more resistance to stuns, concussions, fatigues and sprains per piece of equipped heavy armor. \nWhen wearing full heavy armor, deal 15% more melee damage."
perkHeavyArmorRank4LongDesc,,,,,,"Reduce movement and stamina penalty by 25% when wearing heavy armor, additionally: \nGain 5% more resistance to stuns, concussions, fatigues and sprains per piece of equipped heavy armor. \nWhen wearing full heavy armor, deal 20% more melee damage."
perkHiddenStrike,,,,,,"Hidden Strike"
perkHiddenStrikeName,,,,,,"Hidden Strike"
perkHiddenStrikeDesc,,,,,,"Specialise in catching your enemies unaware while you are sneaking and they don't detect you."
perkHiddenStrikeRank1LongDesc,,,,,,"Sneak attacks deal 150% more damage."
perkHiddenStrikeRank2LongDesc,,,,,,"Sneak attacks deal 200% more damage."
perkHiddenStrikeRank3LongDesc,,,,,,"Sneak attacks deal 250% more damage."
perkFromTheShadows,,,,,,"From The Shadows"
perkFromTheShadowsName,,,,,,"From The Shadows"
perkFromTheShadowsDesc,,,,,,"Specialise in sneaking around in the dark and making less noise in general."
perkFromTheShadowsRank1LongDesc,,,,,,"Hide in the shadows 20% more effectively, noises from actions are muffled 20%, and sneak movement is 20% faster. \nEnemies will search for you for up to 30 seconds."
perkFromTheShadowsRank2LongDesc,,,,,,"Hide in the shadows 40% more effectively, noises from actions are muffled 40%, and sneak movement is 40% faster. \nEnemies will search for you for up to 25 seconds."
